Donor_ID,Phone_number,First_name,Last_Name,Iron_count,Weight,Age
100318,4362409324,Toby,Velazquez,14.01,172,39
101845,9704502439,Alvis,Garza,15.88,249,34
101898,2638463747,Cruz,Esparza,19.89,203,34
102070,7340206968,Elvis,Cantu,19.13,201,54
103508,5591967857,Garth,Zavala,15.82,145,39
104240,1806069794,Lauren,Trevino,16.79,179,55
104677,2053085229,Porter,Meza,17.05,172,34
105564,1100998573,Sherwin,Barajas,13.78,216,65
106036,5646526656,Wylie,Villarreal,15.48,235,33
108043,7805383402,Dillard,Yoder,13.23,244,61
110426,4616774712,Glynn,Cisneros,14.24,122,34
110561,1378818408,Hardy,Booker,16.36,250,63
110600,7249784067,Marcel,Vazquez,15.10,180,55
111687,2787740983,Bernice,Mathis,12.95,198,44
112772,2001208996,Cliff,Trujillo,14.90,167,36
114358,5244873641,Cloyd,Washington,12.70,209,63
115253,2543001892,Gregorio,Jefferson,17.32,242,46
115534,6126545086,Jacky,Blankenship,17.10,204,23
117156,8329925295,Lane,Pruitt,13.53,186,62
117433,2679218522,Quentin,Byrd,18.52,184,24
117530,8368442378,Rubin,Mosley,12.70,152,60
117990,2781476061,Arvid,Rangel,12.50,137,20
118750,1249037874,Prince,Singleton,15.20,117,25
120714,1969078186,Rogelio,Meadows,14.49,203,57
122259,9238852937,Gorden,Lowery,15.72,111,52
123330,6913397422,Leigh,Maddox,13.98,125,19
124272,3087277286,Madison,Terrell,17.32,155,52
124309,1150542161,Brady,Branch,18.93,116,53
127606,6888659726,Carlyle,Adkins,14.05,205,20
128249,8750959635,Curtiss,Colon,13.22,238,58
128373,4792516336,Elmore,Roberson,14.52,178,57
128494,7786505010,Elwyn,Pittman,12.86,244,49
128749,5924598714,Elzie,Walls,18.73,196,64
132972,5461252561,Furman,Mays,13.28,229,44
133911,2657140914,Genaro,Mckinney,18.98,196,64
133919,5019241272,Hosea,Ballard,12.95,195,61
133937,2371837084,Junius,Wiggins,17.43,145,36
135268,8500487970,Kirk,Macias,13.80,245,30
135597,3326073069,Mahlon,Blackwell,18.11,191,60
137620,8887753059,Oran,Mcclain,17.10,112,64
138190,3846205362,Willam,Lester,16.89,158,64
138279,4550579534,Cleve,Dorsey,17.71,158,21
140519,4218944058,Early,Hebert,17.05,189,38
141968,7358044893,Edsel,Blevins,12.50,217,26
142519,3673983000,Ezell,Bryant,12.52,120,51
145083,9683617108,Helen,Banks,13.23,248,31
145436,8291865205,Jonas,Mcdaniel,13.55,175,40
146769,1378733806,Seth,Haynes,15.03,180,61
146809,7527747188,Edd,Mullins,17.32,183,29
147008,2838617345,Eloy,Grimes,18.14,112,40
147047,3014435637,General,Harrell,17.71,250,56
149592,7544907973,Giles,Woodard,15.86,194,38
153826,4050119770,Lindsey,Huerta,14.72,249,18
154888,5043563277,Mervyn,Mcneil,19.02,171,42
156204,9544074270,Parker,Jackson,15.36,159,45
156442,8629912551,Reid,Owens,15.88,225,43
158798,8496813867,Thad,Holmes,14.90,227,42
158933,4070631437,Virginia,Garrett,17.47,110,57
159705,6342457034,Windell,Ingram,18.47,181,50
159767,2327738712,Agustin,Floyd,13.99,225,31
160489,9646200814,Blair,Holloway,18.09,178,58
162352,6373633808,Clem,Pitts,12.70,221,64
162686,2897785689,Emmit,Gentry,15.02,149,63
166066,5037962779,Kim,Rollins,18.51,126,61
166972,3094696355,Lavon,Hinton,16.00,120,61
167075,6224089664,Margarito,Sims,18.97,209,51
167671,1791811432,Romeo,Rhodes,16.59,147,45
167956,7420676373,Sal,Walton,14.49,156,64
168153,2585571894,Willian,Flowers,16.64,236,65
168585,3935970251,Constantine,Clay,14.05,154,38
171404,3081980016,Cornell,Whitehead,13.48,186,44
172323,1750616937,Curley,Gaines,17.89,201,54
174860,2203381503,Evans,Durham,16.57,229,53
175605,3949044523,Fidel,Pennington,15.48,193,58
175653,7856761628,Gerold,Spears,13.14,232,32
176252,1807709563,Jamie,Dunlap,14.25,111,25
177242,1107005878,Robbie,Hendrix,18.91,138,41
178771,7326888007,Rolf,Turner,13.78,180,49
180343,4866171842,Trinidad,Sanders,19.02,229,49
181266,3155493747,Vicente,Jenkins,17.37,240,45
181484,2971386295,Wardell,Coleman,18.86,239,29
184097,3917998111,Arlyn,Tucker,19.13,226,63
184309,4329690171,Deane,Watkins,12.71,237,54
184889,4179409568,Elisha,Lawson,15.07,198,59
185317,3461346166,Garfield,Fields,12.83,246,30
187936,2027089661,Issac,Brewer,13.98,167,47
188500,1380222167,June,Maldonado,19.07,196,26
189455,4183684953,Louise,Vaughn,15.48,138,24
191197,2870464553,Pierce,Brock,18.40,162,23
191432,9948534897,Ruby,Stokes,18.51,204,37
193306,1115449761,Verle,Dickerson,15.04,146,59
193323,7178563713,Albin,Huffman,17.06,128,58
193536,9523784402,Allison,Humphrey,12.64,129,27
195602,9125034938,Aron,Hobbs,12.50,165,49
196887,8896860140,Arvil,Beard,15.48,215,53
199229,2728880190,Brice,Oneal,12.91,137,44
200673,3665216453,Duwayne,Bullock,18.71,115,40
200978,9012000705,Elizabeth,Sexton,16.33,218,44
